tiempo, long_patt, OS
0.000310897827148438,5,1
0.000128030776977539,20,1
0.000117063522338867,20,1
0.000117063522338867,20,1
0.000134944915771484,18,1
0.000168085098266602,11,1
0.000206232070922852,5,1
0.000159978866577148,22,1
0.000116825103759766,26,1
0.00110602378845215,1,1
0.00030970573425293,3,1
0.000130176544189453,22,1
0.000132083892822266,19,1
0.000115871429443359,29,1
0.000196933746337891,14,1
0.000152111053466797,17,1
0.000236988067626953,4,1
0.000176191329956055,9,1
0.000200986862182617,5,1
0.000284910202026367,3,1
0.000129938125610352,13,1
0.000187873840332031,16,1
0.000189781188964844,7,1
0.000162363052368164,23,1
0.00020599365234375,5,1
0.000174045562744141,7,1
0.000124931335449219,17,1
0.000165700912475586,7,1
0.000130891799926758,16,1
0.000138044357299805,13,1
0.00111794471740723,1,1
0.000139236450195312,24,1
0.000117063522338867,26,1
0.000240087509155273,2,1
0.000113964080810547,25,1
0.000154018402099609,10,1
0.000130176544189453,20,1
0.000176668167114258,9,1
0.000123023986816406,18,1
0.000147104263305664,12,1
0.000236988067626953,4,1
0.000125885009765625,16,1
0.000146865844726562,13,1
0.000138998031616211,21,1
0.000176668167114258,7,1
0.000177860260009766,22,1
0.00020599365234375,9,1
0.000166893005371094,28,1
0.000290155410766602,2,1
0.000194072723388672,12,1
0.000169038772583008,26,1
0.000200986862182617,10,1
0.000174760818481445,15,1
0.000140666961669922,16,1
0.000221014022827148,7,1
0.000128984451293945,28,1
0.000251054763793945,4,1
0.000248908996582031,4,1
0.000178098678588867,13,1
0.000206708908081055,19,1
0.000174999237060547,16,1
0.000172138214111328,28,1
0.000171184539794922,25,1
0.00017094612121582,26,1
0.000160932540893555,11,1
0.000119924545288086,30,1
0.000135183334350586,23,1
0.000127077102661133,25,1
0.000163078308105469,9,1
0.000272035598754883,4,1
0.00117993354797363,1,1
0.000172853469848633,19,1
0.000188827514648438,12,1
0.000192880630493164,11,1
0.000180244445800781,27,1
0.000167131423950195,17,1
0.000128984451293945,24,1
0.000179052352905273,7,1
0.000126123428344727,26,1
0.000226974487304688,5,1
0.000135898590087891,16,1
0.000193119049072266,6,1
0.000120162963867188,29,1
0.000151634216308594,10,1
0.000123977661132812,25,1
0.000139951705932617,17,1
0.000141143798828125,13,1
0.000290155410766602,4,1
0.000284194946289062,4,1
0.000171184539794922,19,1
0.000169992446899414,29,1
0.000261068344116211,2,1
0.000236988067626953,4,1
0.000114202499389648,27,1
0.000203847885131836,10,1
0.000190019607543945,15,1
0.000147104263305664,15,1
0.000138044357299805,13,1
0.000114917755126953,29,1
0.000190019607543945,6,1
0.000136852264404297,18,1
0.00012516975402832,18,1
0.000113964080810547,29,1
0.000246047973632812,6,1
0.000130891799926758,27,1
0.000128030776977539,24,1
0.00107598304748535,1,1
0.000119924545288086,30,1
0.000234842300415039,4,1
0.000127077102661133,24,1
0.000243663787841797,4,1
0.000152826309204102,26,1
0.000175952911376953,8,1
0.000253915786743164,6,1
0.000275135040283203,26,1
0.000185251235961914,30,1
0.000177860260009766,17,1
0.000190019607543945,13,1
0.000140905380249023,11,1
0.000187873840332031,13,1
0.000181674957275391,22,1
0.000184059143066406,14,1
0.000154972076416016,28,1
0.000178098678588867,22,1
0.000174760818481445,27,1
0.00120782852172852,1,1
0.000215053558349609,8,1
0.000188112258911133,12,1
0.000169038772583008,22,1
0.000221967697143555,28,1
0.000181913375854492,15,1
0.00116395950317383,1,1
0.000133991241455078,14,1
0.000167131423950195,18,1
0.000130891799926758,28,1
0.00018310546875,7,1
0.000226974487304688,7,1
0.00017094612121582,26,1
0.000174045562744141,18,1
0.000257015228271484,5,1
0.000174999237060547,18,1
0.000181913375854492,16,1
0.00025486946105957,5,1
0.000230073928833008,10,1
0.000215053558349609,8,1
0.000172138214111328,10,1
0.0001678466796875,27,1
0.000257968902587891,5,1
0.000194072723388672,12,1
0.000206947326660156,9,1
0.000169992446899414,24,1
0.000262975692749023,5,1
0.000215291976928711,17,1
0.000138998031616211,27,1
0.000287055969238281,3,1
0.00017094612121582,7,1
0.000128984451293945,29,1
0.000114917755126953,25,1
0.000137805938720703,22,1
0.000142097473144531,22,1
0.000169992446899414,22,1
0.000174999237060547,19,1
0.00017094612121582,18,1
0.000177860260009766,19,1
0.000211954116821289,8,1
0.000212192535400391,25,1
