tiempo, long_patt,OS, lng
0.000205039978027 , 5 , 1 , 5
0.000189065933228 , 20 , 1 , 5
0.000187873840332 , 20 , 1 , 5
0.000184059143066 , 20 , 1 , 5
0.000191211700439 , 18 , 1 , 5
0.000189065933228 , 11 , 1 , 5
0.00019097328186 , 5 , 1 , 5
0.000189065933228 , 22 , 1 , 5
0.000190019607544 , 26 , 1 , 5
0.000327110290527 , 1 , 1 , 5
0.000204086303711 , 3 , 1 , 5
0.000187158584595 , 22 , 1 , 5
0.000189065933228 , 19 , 1 , 5
0.000185966491699 , 29 , 1 , 5
0.000192165374756 , 14 , 1 , 5
0.000190019607544 , 17 , 1 , 5
0.000186920166016 , 4 , 1 , 5
0.00019907951355 , 9 , 1 , 5
0.000192880630493 , 5 , 1 , 5
0.000187873840332 , 3 , 1 , 5
0.000204086303711 , 13 , 1 , 5
0.000188827514648 , 16 , 1 , 5
0.00019097328186 , 7 , 1 , 5
0.000187158584595 , 23 , 1 , 5
0.000187873840332 , 5 , 1 , 5
0.000189065933228 , 7 , 1 , 5
0.000190019607544 , 17 , 1 , 5
0.000190019607544 , 7 , 1 , 5
0.000190019607544 , 16 , 1 , 5
0.000191926956177 , 13 , 1 , 5
0.000325918197632 , 1 , 1 , 5
0.000190019607544 , 24 , 1 , 5
0.000190019607544 , 26 , 1 , 5
0.000204086303711 , 2 , 1 , 5
0.000191211700439 , 25 , 1 , 5
0.000192165374756 , 10 , 1 , 5
0.000186920166016 , 20 , 1 , 5
0.000190019607544 , 9 , 1 , 5
0.000187873840332 , 18 , 1 , 5
0.000188827514648 , 12 , 1 , 5
0.000190019607544 , 4 , 1 , 5
0.000196933746338 , 16 , 1 , 5
0.000187873840332 , 13 , 1 , 5
0.000192880630493 , 21 , 1 , 5
0.000190019607544 , 7 , 1 , 5
0.000188112258911 , 22 , 1 , 5
0.000190019607544 , 9 , 1 , 5
0.000188112258911 , 28 , 1 , 5
0.000205039978027 , 2 , 1 , 5
0.000190019607544 , 12 , 1 , 5
0.000205993652344 , 26 , 1 , 5
0.000187873840332 , 10 , 1 , 5
0.000187873840332 , 15 , 1 , 5
0.000189065933228 , 16 , 1 , 5
0.00019097328186 , 7 , 1 , 5
0.00019097328186 , 28 , 1 , 5
0.000200986862183 , 4 , 1 , 5
0.000188827514648 , 4 , 1 , 5
0.000188112258911 , 13 , 1 , 5
0.000189065933228 , 19 , 1 , 5
0.000186920166016 , 16 , 1 , 5
0.000188112258911 , 28 , 1 , 5
0.000190019607544 , 25 , 1 , 5
0.000186920166016 , 26 , 1 , 5
0.000189065933228 , 11 , 1 , 5
0.000186920166016 , 30 , 1 , 5
0.000190019607544 , 23 , 1 , 5
0.000190019607544 , 25 , 1 , 5
0.00019097328186 , 9 , 1 , 5
0.000190019607544 , 4 , 1 , 5
0.000335931777954 , 1 , 1 , 5
0.000190019607544 , 19 , 1 , 5
0.000196933746338 , 12 , 1 , 5
