tiempo, long_patt,OS
0.000203132629395 , 5 , 1
0.000191926956177 , 20 , 1
0.000190019607544 , 20 , 1
0.000186920166016 , 20 , 1
0.000192880630493 , 18 , 1
0.000211954116821 , 11 , 1
0.00019097328186 , 5 , 1
0.00019097328186 , 22 , 1
0.00019097328186 , 26 , 1
0.000328063964844 , 1 , 1
0.000202894210815 , 3 , 1
0.000197172164917 , 22 , 1
0.000193119049072 , 19 , 1
0.000189065933228 , 29 , 1
0.00125598907471 , 14 , 1
0.000519037246704 , 17 , 1
0.000501871109009 , 4 , 1
0.00054407119751 , 9 , 1
0.000508069992065 , 5 , 1
0.000493049621582 , 3 , 1
0.000494956970215 , 13 , 1
0.000310897827148 , 16 , 1
0.000239133834839 , 7 , 1
0.000230073928833 , 23 , 1
0.000231981277466 , 5 , 1
0.000234127044678 , 7 , 1
0.000234842300415 , 17 , 1
0.000235080718994 , 7 , 1
0.000234127044678 , 16 , 1
0.000246047973633 , 13 , 1
0.00040602684021 , 1 , 1
0.000233888626099 , 24 , 1
0.000233888626099 , 26 , 1
0.000251054763794 , 2 , 1
0.000247001647949 , 25 , 1
0.000236034393311 , 10 , 1
0.000231981277466 , 20 , 1
0.000240802764893 , 9 , 1
0.000232934951782 , 18 , 1
0.000235080718994 , 12 , 1
0.000234842300415 , 4 , 1
0.000236988067627 , 16 , 1
0.000231981277466 , 13 , 1
0.000236988067627 , 21 , 1
0.000236034393311 , 7 , 1
0.00025200843811 , 22 , 1
0.000189065933228 , 9 , 1
0.000190019607544 , 28 , 1
0.000205993652344 , 2 , 1
0.000189065933228 , 12 , 1
0.000190019607544 , 26 , 1
0.000188112258911 , 10 , 1
0.000188112258911 , 15 , 1
0.000197887420654 , 16 , 1
0.00019097328186 , 7 , 1
0.000197887420654 , 28 , 1
0.000191926956177 , 4 , 1
0.000189065933228 , 4 , 1
0.000194787979126 , 13 , 1
0.000189065933228 , 19 , 1
0.000188112258911 , 16 , 1
0.000188112258911 , 28 , 1
0.000195980072021 , 25 , 1
0.000193119049072 , 26 , 1
0.000194072723389 , 11 , 1
0.000190019607544 , 30 , 1
0.000261068344116 , 23 , 1
0.00019097328186 , 25 , 1
0.000192165374756 , 9 , 1
0.000193119049072 , 4 , 1
0.000330924987793 , 1 , 1
0.000191926956177 , 19 , 1
0.00019383430481 , 12 , 1
0.000187873840332 , 11 , 1
0.000195026397705 , 27 , 1
0.000190019607544 , 17 , 1
0.00019097328186 , 24 , 1
0.000186920166016 , 7 , 1
0.000197887420654 , 26 , 1
0.000191926956177 , 5 , 1
0.000191926956177 , 16 , 1
0.000194072723389 , 6 , 1
0.00019097328186 , 29 , 1
0.00019097328186 , 10 , 1
0.000195026397705 , 25 , 1
0.000191926956177 , 17 , 1
0.000186920166016 , 13 , 1
0.000189065933228 , 4 , 1
0.00019097328186 , 4 , 1
0.000188827514648 , 19 , 1
0.000190019607544 , 29 , 1
0.00020694732666 , 2 , 1
0.000187873840332 , 4 , 1
0.00019097328186 , 27 , 1
0.000190019607544 , 10 , 1
0.000188112258911 , 15 , 1
0.000189065933228 , 15 , 1
0.000187873840332 , 13 , 1
0.000189065933228 , 29 , 1
0.000186920166016 , 6 , 1
0.000195980072021 , 18 , 1
0.000190019607544 , 18 , 1
0.000194072723389 , 29 , 1
0.00019097328186 , 6 , 1
0.000190019607544 , 27 , 1
0.000190019607544 , 24 , 1
0.000318050384521 , 1 , 1
0.000190019607544 , 30 , 1
0.000189065933228 , 4 , 1
0.000187873840332 , 24 , 1
0.000192880630493 , 4 , 1
0.000190019607544 , 26 , 1
0.000189065933228 , 8 , 1
0.000196218490601 , 6 , 1
0.000188827514648 , 26 , 1
0.000190019607544 , 30 , 1
0.000188112258911 , 17 , 1
0.000190019607544 , 13 , 1
0.00019097328186 , 11 , 1
0.000191211700439 , 13 , 1
0.000187158584595 , 22 , 1
0.000188827514648 , 14 , 1
0.000188112258911 , 28 , 1
0.000196218490601 , 22 , 1
0.000189065933228 , 27 , 1
0.000318050384521 , 1 , 1
0.000191926956177 , 8 , 1
0.000189065933228 , 12 , 1
0.00019097328186 , 22 , 1
0.000189065933228 , 28 , 1
0.000188112258911 , 15 , 1
0.000383853912354 , 1 , 1
0.000195026397705 , 14 , 1
0.000188827514648 , 18 , 1
0.00019097328186 , 28 , 1
0.000188112258911 , 7 , 1
0.000190019607544 , 7 , 1
0.000189065933228 , 26 , 1
0.000190019607544 , 18 , 1
0.000186920166016 , 5 , 1
0.000188827514648 , 18 , 1
0.000189065933228 , 16 , 1
0.000191926956177 , 5 , 1
0.000190019607544 , 10 , 1
0.000188827514648 , 8 , 1
0.000190019607544 , 10 , 1
0.000190019607544 , 27 , 1
0.000190019607544 , 5 , 1
0.000188827514648 , 12 , 1
0.000190019607544 , 9 , 1
0.000188827514648 , 24 , 1
0.000191926956177 , 5 , 1
0.000190019607544 , 17 , 1
0.000192880630493 , 27 , 1
0.000191926956177 , 3 , 1
0.000189065933228 , 7 , 1
0.000185966491699 , 29 , 1
0.000192880630493 , 25 , 1
0.000190019607544 , 22 , 1
0.000187873840332 , 22 , 1
0.000187873840332 , 22 , 1
0.000190019607544 , 19 , 1
0.000190019607544 , 18 , 1
0.000189065933228 , 19 , 1
0.000188112258911 , 8 , 1
0.000189065933228 , 25 , 1
0.000186920166016 , 12 , 1
0.000190019607544 , 12 , 1
0.000197172164917 , 27 , 1
0.000187873840332 , 9 , 1
0.000191926956177 , 15 , 1
0.000189065933228 , 5 , 1
0.000186920166016 , 10 , 1
0.000188112258911 , 17 , 1
0.000187873840332 , 12 , 1
0.000188112258911 , 13 , 1
0.000186920166016 , 15 , 1
0.000188112258911 , 27 , 1
0.000190019607544 , 27 , 1
