tiempo, long_patt, OS,lng
0.000336885452270508,5,1,4
0.000197887420654297,20,1,4
0.00018310546875,20,1,4
0.000172853469848633,20,1,4
0.000186920166015625,18,1,4
0.000198841094970703,11,1,4
0.000273942947387695,5,1,4
0.000178813934326172,22,1,4
0.000181198120117188,26,1,4
0.00128912925720215,1,1,4
0.000370025634765625,3,1,4
0.00018000602722168,22,1,4
0.000198125839233398,19,1,4
0.000178098678588867,29,1,4
0.000201940536499023,14,1,4
0.000197172164916992,17,1,4
0.00030827522277832,4,1,4
0.00022125244140625,9,1,4
0.000307798385620117,5,1,4
0.000396013259887695,3,1,4
0.000212907791137695,13,1,4
0.000206232070922852,16,1,4
0.000251054763793945,7,1,4
0.000200271606445312,23,1,4
0.00030207633972168,5,1,4
0.000246047973632812,7,1,4
0.000218391418457031,17,1,4
0.000252962112426758,7,1,4
0.000195026397705078,16,1,4
0.000336885452270508,13,1,4
0.00136280059814453,1,1,4
0.000190973281860352,24,1,4
0.000188112258911133,26,1,4
0.000318050384521484,2,1,4
0.000191926956176758,25,1,4
0.000214815139770508,10,1,4
0.000187873840332031,20,1,4
0.000292062759399414,9,1,4
0.000190973281860352,18,1,4
0.000207901000976562,12,1,4
0.000325918197631836,4,1,4
0.000246047973632812,16,1,4
0.000207901000976562,13,1,4
0.000191926956176758,21,1,4
0.000250816345214844,7,1,4
0.000192165374755859,22,1,4
0.000241279602050781,9,1,4
0.000186920166015625,28,1,4
0.000339984893798828,2,1,4
0.000226020812988281,12,1,4
0.000194072723388672,26,1,4
0.00022435188293457,10,1,4
0.000201940536499023,15,1,4
0.000208139419555664,16,1,4
0.000244140625,7,1,4
0.000184059143066406,28,1,4
0.000323772430419922,4,1,4
0.00032496452331543,4,1,4
0.000201940536499023,13,1,4
0.000198125839233398,19,1,4
0.000195980072021484,16,1,4
0.000199794769287109,28,1,4
0.000195026397705078,25,1,4
0.000193119049072266,26,1,4
0.000230073928833008,11,1,4
0.000182867050170898,30,1,4
0.000246286392211914,23,1,4
0.000210046768188477,25,1,4
0.000232219696044922,9,1,4
0.000329971313476562,4,1,4
0.00136494636535645,1,1,4
0.000185012817382812,19,1,4
0.000219106674194336,12,1,4
0.000223875045776367,11,1,4
0.000197887420654297,27,1,4
0.000201940536499023,17,1,4
0.000236034393310547,24,1,4
0.000256061553955078,7,1,4
0.000182151794433594,26,1,4
0.000277280807495117,5,1,4
0.000203847885131836,16,1,4
0.00029301643371582,6,1,4
0.000191926956176758,29,1,4
0.00023198127746582,10,1,4
0.000186920166015625,25,1,4
0.000206947326660156,17,1,4
0.000210046768188477,13,1,4
0.000329017639160156,4,1,4
0.000348091125488281,4,1,4
0.000195980072021484,19,1,4
0.000186920166015625,29,1,4
0.000430107116699219,2,1,4
0.000323057174682617,4,1,4
0.000219106674194336,27,1,4
0.000239372253417969,10,1,4
0.000200271606445312,15,1,4
0.000201940536499023,15,1,4
0.000250816345214844,13,1,4
0.000184774398803711,29,1,4
0.000267267227172852,6,1,4
0.000223159790039062,18,1,4
0.00022578239440918,18,1,4
0.000194072723388672,29,1,4
0.000284910202026367,6,1,4
0.000257015228271484,27,1,4
0.000206947326660156,24,1,4
0.00133609771728516,1,1,4
0.000196933746337891,30,1,4
0.000334024429321289,4,1,4
0.000200986862182617,24,1,4
0.000334024429321289,4,1,4
0.000188827514648438,26,1,4
0.000237941741943359,8,1,4
0.000272989273071289,6,1,4
0.000188112258911133,26,1,4
0.000192880630493164,30,1,4
0.000198841094970703,17,1,4
0.000208139419555664,13,1,4
0.000232219696044922,11,1,4
0.000208854675292969,13,1,4
0.000195741653442383,22,1,4
0.000211954116821289,14,1,4
0.000189304351806641,28,1,4
0.000190973281860352,22,1,4
0.000196933746337891,27,1,4
0.00136709213256836,1,1,4
0.000240087509155273,8,1,4
0.000225305557250977,12,1,4
0.000189065933227539,22,1,4
0.000192165374755859,28,1,4
0.000211954116821289,15,1,4
0.00132489204406738,1,1,4
0.000208854675292969,14,1,4
0.00020289421081543,18,1,4
0.000185966491699219,28,1,4
0.000251054763793945,7,1,4
0.000257968902587891,7,1,4
0.000201225280761719,26,1,4
0.000196933746337891,18,1,4
