173,69,1
178,68,1
179,86,0
182,89,0
180,74,1
179,88,0
169,62,1
177,87,0
172,66,1
172,78,0
170,80,0
164,61,1
162,59,1
172,77,0
175,69,1
167,63,1
174,85,0
168,64,1
176,70,1
168,70,1
165,62,1
189,102,0
170,73,0
180,75,1
159,61,1
188,97,0
185,99,0
167,71,0
178,86,0
166,63,1
177,69,1
173,77,0
181,74,1
194,109,0
177,73,1
177,72,1
167,70,0
182,91,0
187,103,0
173,80,0
178,97,0
170,68,1
182,93,0
172,82,0
179,88,0
179,73,1
180,90,0
169,65,1
176,80,0
169,77,0
168,69,0
170,75,0
180,96,0
169,68,1
174,84,0
183,92,0
172,70,1
170,77,0
171,66,1
163,60,1
168,83,0
170,68,1
169,62,1
171,77,0
172,79,0
171,64,0
178,88,0
183,92,0
175,71,1
182,71,1
170,68,1
171,68,1
177,83,0
169,74,0
179,84,0
175,70,1
166,62,1
179,96,0
168,66,1
167,62,1
179,90,0
165,64,1
183,97,0
190,105,0
168,73,0
178,91,0
174,69,1
167,71,0
185,93,0
163,62,1
175,89,0
174,72,1
162,60,1
167,65,1
178,71,1
186,101,0
171,65,1
172,70,1
178,94,0
190,105,0
