tiempo, long_patt, OS,lng
0.000303030014038086,5,1,4
0.000166177749633789,20,1,4
0.000123977661132812,20,1,4
0.000117063522338867,20,1,4
0.000117778778076172,18,1,4
0.000138998031616211,11,1,4
0.00020599365234375,5,1,4
0.000116109848022461,22,1,4
0.000108242034912109,26,1,4
0.00111198425292969,1,1,4
0.000283956527709961,3,1,4
0.000116109848022461,22,1,4
0.000119924545288086,19,1,4
0.000119924545288086,29,1,4
0.000128984451293945,14,1,4
0.000121116638183594,17,1,4
0.000234127044677734,4,1,4
0.000151157379150391,9,1,4
0.000210046768188477,5,1,4
0.00027918815612793,3,1,4
0.000126838684082031,13,1,4
0.000180959701538086,16,1,4
0.000185966491699219,7,1,4
0.000110864639282227,23,1,4
0.000211954116821289,5,1,4
0.000190019607543945,7,1,4
0.000149250030517578,17,1,4
0.000221967697143555,7,1,4
0.000177860260009766,16,1,4
0.000185966491699219,13,1,4
0.00120210647583008,1,1,4
0.000175714492797852,24,1,4
0.000160932540893555,26,1,4
0.000311136245727539,2,1,4
0.000169992446899414,25,1,4
0.000192880630493164,10,1,4
0.000129222869873047,20,1,4
0.000152826309204102,9,1,4
0.000121116638183594,18,1,4
0.000167131423950195,12,1,4
0.00025486946105957,4,1,4
0.000151872634887695,16,1,4
0.000153779983520508,13,1,4
0.000133991241455078,21,1,4
0.000216007232666016,7,1,4
0.000169038772583008,22,1,4
0.000176191329956055,9,1,4
0.000112056732177734,28,1,4
0.000244140625,2,1,4
0.000135183334350586,12,1,4
0.000115156173706055,26,1,4
0.000150918960571289,10,1,4
0.000123977661132812,15,1,4
0.000128030776977539,16,1,4
0.000161886215209961,7,1,4
0.000120878219604492,28,1,4
0.00025486946105957,4,1,4
0.000283002853393555,4,1,4
0.00016474723815918,13,1,4
0.000156164169311523,19,1,4
0.000133991241455078,16,1,4
0.000144243240356445,28,1,4
0.000136852264404297,25,1,4
0.000147104263305664,26,1,4
0.000158071517944336,11,1,4
0.000128984451293945,30,1,4
0.000128746032714844,23,1,4
0.000134706497192383,25,1,4
0.000185012817382812,9,1,4
0.0002899169921875,4,1,4
0.00122499465942383,1,1,4
0.000159025192260742,19,1,4
0.000164985656738281,12,1,4
0.000146150588989258,11,1,4
0.000107049942016602,27,1,4
0.000128984451293945,17,1,4
0.00011897087097168,24,1,4
0.000165939331054688,7,1,4
0.000116109848022461,26,1,4
0.000207901000976562,5,1,4
0.000140905380249023,16,1,4
0.000203132629394531,6,1,4
0.000138998031616211,29,1,4
0.00016474723815918,10,1,4
0.000133991241455078,25,1,4
0.000138998031616211,17,1,4
0.000133037567138672,13,1,4
0.000233173370361328,4,1,4
0.00023198127746582,4,1,4
0.000117778778076172,19,1,4
0.000112056732177734,29,1,4
0.00024104118347168,2,1,4
0.000227928161621094,4,1,4
0.000110149383544922,27,1,4
0.000195026397705078,10,1,4
0.000137805938720703,15,1,4
0.000124216079711914,15,1,4
0.000128984451293945,13,1,4
0.000114679336547852,29,1,4
0.000184059143066406,6,1,4
0.000133037567138672,18,1,4
0.000121116638183594,18,1,4
0.000108003616333008,29,1,4
0.000192165374755859,6,1,4
0.000107049942016602,27,1,4
0.000122308731079102,24,1,4
0.00108098983764648,1,1,4
0.000119209289550781,30,1,4
0.000234127044677734,4,1,4
0.000116109848022461,24,1,4
0.000235795974731445,4,1,4
0.000111818313598633,26,1,4
0.000156164169311523,8,1,4
0.000182867050170898,6,1,4
0.000110149383544922,26,1,4
0.000111103057861328,30,1,4
0.000124216079711914,17,1,4
0.000137090682983398,13,1,4
0.000185966491699219,11,1,4
0.000142812728881836,13,1,4
0.000120162963867188,22,1,4
0.000126123428344727,14,1,4
0.000111103057861328,28,1,4
0.000118017196655273,22,1,4
0.000108003616333008,27,1,4
0.00107502937316895,1,1,4
0.000163078308105469,8,1,4
0.00014185905456543,12,1,4
0.000112056732177734,22,1,4
0.000112056732177734,28,1,4
0.000149011611938477,15,1,4
0.00109386444091797,1,1,4
0.000130891799926758,14,1,4
0.000123977661132812,18,1,4
0.000108003616333008,28,1,4
0.000174045562744141,7,1,4
0.000165939331054688,7,1,4
0.000111818313598633,26,1,4
0.000128030776977539,18,1,4
0.000196933746337891,5,1,4
0.00017094612121582,18,1,4
0.000137805938720703,16,1,4
0.000203132629394531,5,1,4
0.00014185905456543,10,1,4
0.000159025192260742,8,1,4
0.000151157379150391,10,1,4
0.000119924545288086,27,1,4
0.000211954116821289,5,1,4
