tiempo, long_patt, OS
0.000316858291625977,5,1
0.000155925750732422,20,1
0.000121831893920898,20,1
0.000149011611938477,20,1
0.00018000602722168,18,1
0.00016474723815918,11,1
0.000256061553955078,5,1
0.000133037567138672,22,1
0.000113010406494141,26,1
0.00110697746276855,1,1
0.000280141830444336,3,1
0.00011897087097168,22,1
0.000124931335449219,19,1
0.000113010406494141,29,1
0.000158071517944336,14,1
0.00018000602722168,17,1
0.000283956527709961,4,1
0.000175952911376953,9,1
0.000229120254516602,5,1
0.000284910202026367,3,1
0.000145673751831055,13,1
0.000173807144165039,16,1
0.000226020812988281,7,1
0.00011897087097168,23,1
0.000206947326660156,5,1
0.000169038772583008,7,1
0.000128984451293945,17,1
0.000173091888427734,7,1
0.000119924545288086,16,1
0.000130891799926758,13,1
0.00115299224853516,1,1
0.000155925750732422,24,1
0.000121831893920898,26,1
0.000296115875244141,2,1
0.000170230865478516,25,1
0.000174999237060547,10,1
0.000128030776977539,20,1
0.000212192535400391,9,1
0.000173330307006836,18,1
0.000194072723388672,12,1
0.000288009643554688,4,1
0.000250101089477539,16,1
0.000213146209716797,13,1
0.000194787979125977,21,1
0.000236988067626953,7,1
0.000448942184448242,22,1
0.000207185745239258,9,1
0.000168085098266602,28,1
0.000308990478515625,2,1
0.000177145004272461,12,1
0.000139951705932617,26,1
0.000205755233764648,10,1
0.000159978866577148,15,1
0.000184774398803711,16,1
0.000214099884033203,7,1
0.000226020812988281,28,1
0.000337123870849609,4,1
0.000284910202026367,4,1
0.000136137008666992,13,1
0.000128030776977539,19,1
0.000133037567138672,16,1
0.000139951705932617,28,1
0.000177860260009766,25,1
0.000174999237060547,26,1
0.000198125839233398,11,1
0.000149011611938477,30,1
0.000171899795532227,23,1
0.000165939331054688,25,1
0.000171899795532227,9,1
0.000303983688354492,4,1
0.00119590759277344,1,1
0.000173091888427734,19,1
0.0001678466796875,12,1
0.000172138214111328,11,1
0.000164985656738281,27,1
0.000145196914672852,17,1
0.000134944915771484,24,1
0.000195026397705078,7,1
0.000123977661132812,26,1
0.000226974487304688,5,1
0.000139236450195312,16,1
0.000194072723388672,6,1
0.00014185905456543,29,1
0.000165939331054688,10,1
0.000149965286254883,25,1
0.000123023986816406,17,1
0.000137090682983398,13,1
0.000291109085083008,4,1
0.000289678573608398,4,1
0.000181913375854492,19,1
0.000151157379150391,29,1
0.000393152236938477,2,1
0.000284910202026367,4,1
0.000145196914672852,27,1
0.000195026397705078,10,1
0.000178098678588867,15,1
0.000184059143066406,15,1
0.00020599365234375,13,1
0.000180959701538086,29,1
0.000239133834838867,6,1
0.000154018402099609,18,1
0.000164985656738281,18,1
0.00014805793762207,29,1
0.000248908996582031,6,1
0.000175237655639648,27,1
0.000163078308105469,24,1
0.0010988712310791,1,1
0.000135898590087891,30,1
0.000240802764892578,4,1
0.000185012817382812,24,1
0.000287055969238281,4,1
0.000146150588989258,26,1
0.000222921371459961,8,1
0.000250816345214844,6,1
0.000183820724487305,26,1
0.000167131423950195,30,1
0.000128746032714844,17,1
0.000192880630493164,13,1
0.000195026397705078,11,1
0.000197172164916992,13,1
0.000184059143066406,22,1
0.000185251235961914,14,1
0.000176191329956055,28,1
0.000159025192260742,22,1
0.000172138214111328,27,1
0.00113892555236816,1,1
0.000213146209716797,8,1
0.000197172164916992,12,1
0.000144004821777344,22,1
0.000156879425048828,28,1
0.000177860260009766,15,1
0.00112295150756836,1,1
0.000176191329956055,14,1
0.000144004821777344,18,1
0.000182151794433594,28,1
0.000245094299316406,7,1
0.000227928161621094,7,1
0.000169277191162109,26,1
0.000176191329956055,18,1
0.000249147415161133,5,1
0.000190973281860352,18,1
0.000204086303710938,16,1
0.000266075134277344,5,1
0.000171899795532227,10,1
0.000178813934326172,8,1
0.000173807144165039,10,1
0.000139236450195312,27,1
0.000258922576904297,5,1
0.000159978866577148,12,1
0.000174760818481445,9,1
0.000146865844726562,24,1
