tiempo, long, tipoB, OS,lng,tamTexto
0.0145540237427 , 5 , 2 , 6 , 5 , 10
0.0146679878235 , 20 , 2 , 6 , 5 , 10
0.0144970417023 , 20 , 2 , 6 , 5 , 10
0.0142230987549 , 20 , 2 , 6 , 5 , 10
0.0144829750061 , 18 , 2 , 6 , 5 , 10
0.0145041942596 , 11 , 2 , 6 , 5 , 10
0.0145049095154 , 5 , 2 , 6 , 5 , 10
0.0144920349121 , 22 , 2 , 6 , 5 , 10
0.014496088028 , 26 , 2 , 6 , 5 , 10
0.026871919632 , 1 , 2 , 6 , 5 , 10
0.0145320892334 , 3 , 2 , 6 , 5 , 10
0.0145080089569 , 22 , 2 , 6 , 5 , 10
0.0144770145416 , 19 , 2 , 6 , 5 , 10
0.0144851207733 , 29 , 2 , 6 , 5 , 10
0.0144560337067 , 14 , 2 , 6 , 5 , 10
0.0142741203308 , 17 , 2 , 6 , 5 , 10
0.0145020484924 , 4 , 2 , 6 , 5 , 10
0.01451420784 , 9 , 2 , 6 , 5 , 10
0.0145139694214 , 5 , 2 , 6 , 5 , 10
0.0143060684204 , 3 , 2 , 6 , 5 , 10
0.0145030021667 , 13 , 2 , 6 , 5 , 10
0.0144889354706 , 16 , 2 , 6 , 5 , 10
0.0144720077515 , 7 , 2 , 6 , 5 , 10
0.0144789218903 , 23 , 2 , 6 , 5 , 10
0.014496088028 , 5 , 2 , 6 , 5 , 10
0.0144779682159 , 7 , 2 , 6 , 5 , 10
0.0144600868225 , 17 , 2 , 6 , 5 , 10
0.014475107193 , 7 , 2 , 6 , 5 , 10
0.0144851207733 , 16 , 2 , 6 , 5 , 10
0.0144240856171 , 13 , 2 , 6 , 5 , 10
0.0265898704529 , 1 , 2 , 6 , 5 , 10
0.0145797729492 , 24 , 2 , 6 , 5 , 10
0.0145399570465 , 26 , 2 , 6 , 5 , 10
0.0156190395355 , 2 , 2 , 6 , 5 , 10
0.0146639347076 , 25 , 2 , 6 , 5 , 10
