tiempo, long_patt
, OS0.000303030014038086,51
0.000124692916870117,201
0.000159978866577148,201
0.000116109848022461,201
0.000115871429443359,181
0.000164031982421875,111
0.000207901000976562,51
0.000133991241455078,221
0.000111103057861328,261
0.00110888481140137,11
0.000287055969238281,31
0.000119924545288086,221
0.000117063522338867,191
0.000182151794433594,291
0.000197172164916992,141
0.000188112258911133,171
0.000295877456665039,41
0.000218868255615234,91
0.00026702880859375,51
0.000343799591064453,31
0.000195980072021484,131
0.000192880630493164,161
0.000236034393310547,71
0.000205039978027344,231
0.000272035598754883,51
0.000180959701538086,71
0.000180959701538086,171
0.000232934951782227,71
0.000190019607543945,161
0.00020599365234375,131
0.00120687484741211,11
0.000187873840332031,241
0.000187873840332031,261
0.000314950942993164,21
0.000182151794433594,251
0.000215053558349609,101
0.000178098678588867,201
0.000235080718994141,91
0.000203847885131836,181
0.000213146209716797,121
0.000278234481811523,41
0.000127792358398438,161
0.000133275985717773,131
0.000131845474243164,211
0.000178813934326172,71
0.000164031982421875,221
0.000177860260009766,91
0.000117063522338867,281
0.000284910202026367,21
0.000143051147460938,121
0.000116109848022461,261
0.000162839889526367,101
0.000150680541992188,151
0.000176191329956055,161
0.000215053558349609,71
0.000165939331054688,281
0.000274896621704102,41
0.000261783599853516,41
0.000187873840332031,131
0.00017094612121582,191
0.00015568733215332,161
0.000132083892822266,281
0.000144243240356445,251
0.000133275985717773,261
0.00014805793762207,111
0.000197172164916992,301
0.000164270401000977,231
0.000150203704833984,251
0.000154972076416016,91
0.000256776809692383,41
0.00113701820373535,11
0.000164985656738281,191
0.000142097473144531,121
0.000194787979125977,111
0.000171899795532227,271
0.000153064727783203,171
0.00014185905456543,241
0.000205039978027344,71
0.000153064727783203,261
0.000222921371459961,51
0.000133752822875977,161
0.000200033187866211,61
0.000134706497192383,291
0.000137090682983398,101
0.0001220703125,251
0.000126123428344727,171
0.000142097473144531,131
0.000229120254516602,41
0.000232219696044922,41
0.000126123428344727,191
0.000127077102661133,291
0.000234127044677734,21
0.000230073928833008,41
0.000113964080810547,271
0.000146150588989258,101
0.000166177749633789,151
0.000127792358398438,151
0.000185966491699219,131
0.000138998031616211,291
0.000213146209716797,61
0.0001220703125,181
0.000123023986816406,181
0.000107765197753906,291
0.000185012817382812,61
0.00010991096496582,271
0.000130176544189453,241
0.00107002258300781,11
0.000115871429443359,301
0.00024724006652832,41
0.000118017196655273,241
0.000229835510253906,41
0.00010991096496582,261
0.000161170959472656,81
0.000231027603149414,61
0.000141143798828125,261
0.0001068115234375,301
0.000123023986816406,171
0.000131845474243164,131
0.000145912170410156,111
0.00018000602722168,131
0.000128746032714844,221
0.000146865844726562,141
0.00012516975402832,281
0.000136852264404297,221
0.000137805938720703,271
0.00246405601501465,11
0.000190019607543945,81
0.000181913375854492,121
0.000137805938720703,221
0.000140190124511719,281
0.000154972076416016,151
0.00109601020812988,11
0.000128746032714844,141
0.000121116638183594,181
0.000117063522338867,281
0.000164985656738281,71
0.000164985656738281,71
0.000164985656738281,261
0.000200033187866211,181
0.000259160995483398,51
0.000136137008666992,181
0.000119924545288086,161
0.000201940536499023,51
0.000200033187866211,101
0.000172138214111328,81
0.000150203704833984,101
0.000215053558349609,271
0.000233888626098633,51
0.000173091888427734,121
0.000158071517944336,91
0.000131845474243164,241
0.000221014022827148,51
0.000140190124511719,171
0.000161886215209961,271
0.000310182571411133,31
0.000194787979125977,71
0.000157833099365234,291
0.00014805793762207,251
0.000129938125610352,221
0.000135183334350586,221
0.000130891799926758,221
0.000172138214111328,191
0.00014495849609375,181
0.000123739242553711,191
0.000158071517944336,81
0.000109195709228516,251
0.000184059143066406,121
0.000138998031616211,121
0.000143051147460938,271
0.0001678466796875,91
0.000142097473144531,151
0.00020599365234375,51
0.00014805793762207,101
0.000123023986816406,171
0.000193119049072266,121
0.000195980072021484,131
0.000179767608642578,151
0.000149250030517578,271
0.000114917755126953,271
0.000118017196655273,221
0.000149011611938477,131
0.00014805793762207,181
0.000152111053466797,121
0.000310182571411133,31
0.000129938125610352,201
0.000141143798828125,141
0.000136137008666992,231
0.000131845474243164,121
0.000182867050170898,111
0.000171184539794922,131
0.000166177749633789,171
0.000212907791137695,61
0.000128984451293945,171
0.00110077857971191,11
0.000168085098266602,81
