tiempo, long_patt
0.000303030014038086,5
0.000158786773681641,20
0.000173091888427734,20
0.00014185905456543,20
0.000211954116821289,18
0.000144004821777344,11
0.000183820724487305,5
0.000116109848022461,22
0.000131845474243164,26
0.00102806091308594,1
0.0002288818359375,3
9.48905944824219e-005,22
0.000122785568237305,19
0.000131130218505859,29
0.000128984451293945,14
0.00024104118347168,17
0.000180721282958984,4
0.000147104263305664,9
0.000172138214111328,5
0.000191926956176758,3
0.000186920166015625,13
0.00014495849609375,16
0.000287055969238281,7
0.000604867935180664,23
0.000334739685058594,5
0.00018000602722168,7
0.00016021728515625,17
0.000151157379150391,7
0.000143051147460938,16
0.000143051147460938,13
0.00104999542236328,1
0.000146865844726563,24
0.000120162963867188,26
0.000240087509155273,2
0.000159978866577148,25
0.000124692916870117,10
0.000175952911376953,20
0.000233173370361328,9
0.000155210494995117,18
0.0001220703125,12
0.00019073486328125,4
0.00014495849609375,16
0.000149011611938477,13
0.00012516975402832,21
0.000235080718994141,7
0.000135898590087891,22
0.000154018402099609,9
0.000126838684082031,28
0.000259160995483398,2
0.000217914581298828,12
0.000177145004272461,26
0.000177145004272461,10
0.000134944915771484,15
0.00020909309387207,16
0.000136852264404297,7
5.60283660888672e-005,28
0.000206232070922852,4
0.000155210494995117,4
0.00020599365234375,13
0.000128269195556641,19
0.000119924545288086,16
0.000277996063232422,28
0.000254154205322266,25
0.000210046768188477,26
0.000139713287353516,11
0.000159740447998047,30
0.000134944915771484,23
0.00012969970703125,25
0.000138998031616211,9
0.000183582305908203,4
0.00105619430541992,1
0.000125885009765625,19
0.000178098678588867,12
0.000296115875244141,11
0.000152111053466797,27
0.000180721282958984,17
0.000152826309204102,24
0.00014185905456543,7
0.000147342681884766,26
0.000242948532104492,5
0.000137090682983398,16
0.000148773193359375,6
0.000149965286254883,29
0.000235080718994141,10
0.000190019607543945,25
0.000145196914672852,17
0.000172138214111328,13
0.000236988067626953,4
0.000200748443603516,4
0.000133037567138672,19
0.000116109848022461,29
0.000229120254516602,2
0.000179052352905273,4
0.000118017196655273,27
0.000133275985717773,10
0.000192165374755859,15
0.000195026397705078,15
0.000187158584594727,13
0.000129938125610352,29
0.000139236450195313,6
0.000122785568237305,18
0.000165224075317383,18
0.000195741653442383,29
0.000175952911376953,6
